Indicator Code: CG0730
"Indicator Name: Prostate cancer"
Export date: 11/14/2025 1:58:18 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: C61"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,ALB,Albania,1988,All,Age75_79,[75-79],19.00000000,0.85011186,,60.31746032,
EU,Europe,ALB,Albania,1988,All,Age80_84,[80-84],11.00000000,0.68450529,,65.08875740,
EU,Europe,ALB,Albania,1988,All,Age85_over,[85+],8.00000000,0.35273369,,77.66990291,
EU,Europe,ALB,Albania,1988,All,Age_unknown,[Unknown],0.00000000,,,,
EU,Europe,ALB,Albania,1988,Male,Age_all,[All],90.00000000,0.93119503,10.37202562,5.56896232,
EU,Europe,ALB,Albania,1988,Male,Age00,[0],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1988,Male,Age01_04,[1-4],1.00000000,0.17825312,,0.65703022,
EU,Europe,ALB,Albania,1988,Male,Age05_09,[5-9],1.00000000,0.77519380,,0.56369786,
EU,Europe,ALB,Albania,1988,Male,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1988,Male,Age15_19,[15-19],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1988,Male,Age20_24,[20-24],1.00000000,0.58823529,,0.64935065,
EU,Europe,ALB,Albania,1988,Male,Age25_29,[25-29],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1988,Male,Age30_34,[30-34],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1988,Male,Age35_39,[35-39],3.00000000,2.25563910,,3.06748466,
EU,Europe,ALB,Albania,1988,Male,Age40_44,[40-44],2.00000000,1.42857143,,2.65604250,
EU,Europe,ALB,Albania,1988,Male,Age45_49,[45-49],1.00000000,0.42016807,,1.32450331,
EU,Europe,ALB,Albania,1988,Male,Age50_54,[50-54],3.00000000,0.82191781,,4.58015267,
EU,Europe,ALB,Albania,1988,Male,Age55_59,[55-59],3.00000000,0.56074766,,5.72519084,
EU,Europe,ALB,Albania,1988,Male,Age60_64,[60-64],3.00000000,0.41039672,,7.89473684,
EU,Europe,ALB,Albania,1988,Male,Age65_69,[65-69],17.00000000,1.64888458,,54.83870968,
EU,Europe,ALB,Albania,1988,Male,Age70_74,[70-74],17.00000000,1.50709220,,90.42553192,
EU,Europe,ALB,Albania,1988,Male,Age75_79,[75-79],19.00000000,1.60744501,,149.60629921,
EU,Europe,ALB,Albania,1988,Male,Age80_84,[80-84],11.00000000,1.52777778,,183.33333333,
EU,Europe,ALB,Albania,1988,Male,Age85_over,[85+],8.00000000,0.93457944,,222.22222222,
EU,Europe,ALB,Albania,1988,Male,Age_unknown,[Unknown],0.00000000,,,,
EU,Europe,ALB,Albania,1989,All,Age_all,[All],103.00000000,0.56689966,5.07404313,3.23655103,
EU,Europe,ALB,Albania,1989,All,Age00,[0],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1989,All,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1989,All,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1989,All,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1989,All,Age15_19,[15-19],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1989,All,Age20_24,[20-24],1.00000000,0.37453184,,0.33079722,
EU,Europe,ALB,Albania,1989,All,Age25_29,[25-29],0.00000000,0.00000000,,0.00000000,
